yyyymm,month_number,month_name,month_name_abbr,quarter_number,quarter_name,year
202001,1,January,Jan,1,Q1,2020
202002,2,February,Feb,1,Q1,2020
202003,3,March,Mar,1,Q1,2020
202004,4,April,Apr,2,Q2,2020
202005,5,May,May,2,Q2,2020
202006,6,June,Jun,2,Q2,2020
202007,7,July,Jul,3,Q3,2020
202008,8,August,Aug,3,Q3,2020
202009,9,September,Sep,3,Q3,2020
202010,10,October,Oct,4,Q4,2020
202011,11,November,Nov,4,Q4,2020
202012,12,December,Dec,4,Q4,2020
202101,1,January,Jan,1,Q1,2021
202102,2,February,Feb,1,Q1,2021
202103,3,March,Mar,1,Q1,2021
202104,4,April,Apr,2,Q2,2021
202105,5,May,May,2,Q2,2021
202106,6,June,Jun,2,Q2,2021
202107,7,July,Jul,3,Q3,2021
202108,8,August,Aug,3,Q3,2021
202109,9,September,Sep,3,Q3,2021
202110,10,October,Oct,4,Q4,2021
202111,11,November,Nov,4,Q4,2021
202112,12,December,Dec,4,Q4,2021
202201,1,January,Jan,1,Q1,2022
202202,2,February,Feb,1,Q1,2022
202203,3,March,Mar,1,Q1,2022
202204,4,April,Apr,2,Q2,2022
202205,5,May,May,2,Q2,2022
202206,6,June,Jun,2,Q2,2022
202207,7,July,Jul,3,Q3,2022
202208,8,August,Aug,3,Q3,2022
202209,9,September,Sep,3,Q3,2022
202210,10,October,Oct,4,Q4,2022
202211,11,November,Nov,4,Q4,2022
202212,12,December,Dec,4,Q4,2022
202301,1,January,Jan,1,Q1,2023
202302,2,February,Feb,1,Q1,2023
202303,3,March,Mar,1,Q1,2023
202304,4,April,Apr,2,Q2,2023
202305,5,May,May,2,Q2,2023
202306,6,June,Jun,2,Q2,2023
202307,7,July,Jul,3,Q3,2023
202308,8,August,Aug,3,Q3,2023
202309,9,September,Sep,3,Q3,2023
202310,10,October,Oct,4,Q4,2023
202311,11,November,Nov,4,Q4,2023
202312,12,December,Dec,4,Q4,2023
202401,1,January,Jan,1,Q1,2024
202402,2,February,Feb,1,Q1,2024
202403,3,March,Mar,1,Q1,2024
202404,4,April,Apr,2,Q2,2024
202405,5,May,May,2,Q2,2024
202406,6,June,Jun,2,Q2,2024
202407,7,July,Jul,3,Q3,2024
202408,8,August,Aug,3,Q3,2024
202409,9,September,Sep,3,Q3,2024
202410,10,October,Oct,4,Q4,2024
202411,11,November,Nov,4,Q4,2024
202412,12,December,Dec,4,Q4,2024
202501,1,January,Jan,1,Q1,2025
202502,2,February,Feb,1,Q1,2025
202503,3,March,Mar,1,Q1,2025
202504,4,April,Apr,2,Q2,2025
202505,5,May,May,2,Q2,2025
202506,6,June,Jun,2,Q2,2025
202507,7,July,Jul,3,Q3,2025
202508,8,August,Aug,3,Q3,2025
202509,9,September,Sep,3,Q3,2025
202510,10,October,Oct,4,Q4,2025
202511,11,November,Nov,4,Q4,2025
202512,12,December,Dec,4,Q4,2025
